Date,Description,Amount,Category,Reference
2025-10-01,STARBUCKS COFFEE #1234,12.50,Food & Dining,TXN001
2025-10-01,AMAZON.COM PURCHASE,89.99,Shopping,TXN002
2025-10-02,SHELL GAS STATION,45.20,Gas & Transportation,TXN003
2025-10-02,NETFLIX SUBSCRIPTION,15.99,Entertainment,TXN004
2025-10-03,APPLE STORE PURCHASE,299.00,Technology,TXN005
2025-10-03,UBER RIDE,18.75,Transportation,TXN006
2025-10-04,WHOLE FOODS MARKET,67.45,Groceries,TXN007
2025-10-04,SPOTIFY PREMIUM,9.99,Entertainment,TXN008
2025-10-05,CHIPOTLE RESTAURANT,14.25,Food & Dining,TXN009
2025-10-05,TARGET STORE,156.78,Shopping,TXN010
2025-10-06,VERIZON WIRELESS,85.00,Utilities,TXN011
2025-10-06,COSTCO WHOLESALE,234.56,Groceries,TXN012
2025-10-07,STARBUCKS COFFEE #5678,8.75,Food & Dining,TXN013
2025-10-07,AMAZON PRIME,14.99,Shopping,TXN014
2025-10-08,EXON MOBIL GAS,52.30,Gas & Transportation,TXN015
2025-10-08,DISNEY+ SUBSCRIPTION,7.99,Entertainment,TXN016
2025-10-09,APPLE MUSIC,4.99,Entertainment,TXN017
2025-10-09,LYFT RIDE,22.40,Transportation,TXN018
2025-10-10,TRADER JOE'S,89.12,Groceries,TXN019
2025-10-10,BEST BUY ELECTRONICS,199.99,Technology,TXN020

